algoritmo,tasa_inf,desviacion_general,agr,tiempo
am_10_01_mejores,8,0.5992146992033058,0.6598357685969529,3512
ils_es,9,0.6020128105885613,0.6686959869215731,1266
bmb,9,0.6082200579661825,0.671872180829512,1170
ils,11,0.6083131317379611,0.6856049952148612,1269
am_10_1,7,0.6548550487362945,0.7033519042512122,3243
bl,12,0.6344431346642564,0.7208281585502034,131
am_10_01,9,0.6718086573980139,0.7369763069961843,2283
age_sf,13,0.6541051174521163,0.7510988284819515,2999
agg_un,13,0.667469789366692,0.7659790271313685,2293
age_un,13,0.6910943785020957,0.7865725627970896,2342
es,17,0.6686175099535108,0.7959217556801695,1377
agg_sf,18,0.710877112091975,0.8427279380231575,2512
greedy,2,0.9442102978796969,0.9533034582887439,1
