algoritmo,tasa_inf,desviacion_general,agr,tiempo
ils,217,0.10854404354307017,0.13880274840237283,49939
ils_es,201,0.11127702126454671,0.13922100492263081,42262
bmb,206,0.11203085160296551,0.14072781685662672,46776
bl,211,0.11492250497797532,0.14434456361997006,4414
am_10_01_mejores,214,0.11815384698294618,0.14793845231910768,22189
es,255,0.1156824233295354,0.15121199935787782,9120
am_10_01,248,0.11787773038261236,0.1523754427429417,22598
age_un,268,0.11819140077159858,0.1555615984780184,18146
age_sf,291,0.11929386464790712,0.15975965335836623,24171
am_10_1,465,0.14550501656300682,0.21023354557539525,20298
greedy,10,0.23299113190765414,0.23427398944085956,6
agg_sf,1146,0.15921410404534314,0.3190135315511534,22820
agg_un,1179,0.1647214771884995,0.32901090606052885,18233
